,GEOID10_TRACT,state,Life expectancy (years),Unemployed civilians (percent),Percent of individuals < 200% Federal Poverty Line,Median value ($) of owner-occupied housing units,Percent individuals age 25 or over with less than high school degree,Percent enrollment in college or graduate school,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Non-Hispanic White,Linguistic isolation (percent),Current lack of health insurance among adults aged 18-64 years,Median household income in the past 12 months,Percent Hispanic or Latino,hbrd_rank,current_methodology_percent,current_summed_methodology,Urban Heuristic Flag,state_name
2581,25025081800,25,76.9,14.68574984443061,67.12286158631416,422400,20.75098814229249,13.37333904843549,58.333333333333336,0.0,6.3333333333333295,16.90962099125364,19.0,30767,35.93939393939394,99.64488636363636,56.00000000000001,739,1,MA
2582,25025081900,25,79.5,9.81308411214953,62.33801295896328,582400,15.809935205183582,8.31295843520782,68.08855291576674,0.0,3.6987041036717003,18.7630298818624,17.2,27745,31.80345572354212,99.36079545454544,65.0,795,1,MA
2583,25025090100,25,80.1,11.22008630835621,47.79148428173498,470300,22.4390243902439,8.99402131531063,65.81774771189814,0.0,3.3426183844011104,17.06915477497256,17.6,34195,35.05769996020692,94.88636363636364,51.0,905,1,MA
2584,25025090200,25,75.6,14.16216216216216,68.52640545144804,484000,25.41478129713423,3.9044289044289,62.819420783645654,0.0,1.87393526405451,27.43362831858407,23.9,26755,35.689948892674614,92.96875,53.0,395,1,MA
2585,25025090300,25,75.6,9.63480963480963,69.75767366720517,453800,17.01408450704225,5.9341678256838195,64.20032310177706,0.0,4.58804523424878,16.294458229942098,20.4,30975,34.89499192245557,98.86363636363636,53.0,605,1,MA
2586,25025090400,25,78.5,12.05287713841368,45.15468607825296,368400,24.27431059506531,7.73325861585878,70.22292993630573,0.0,1.47861692447679,14.113207547169809,19.3,38750,41.6287534121929,99.07670454545456,56.99999999999999,740,1,MA
2587,25025090600,25,77.6,15.987460815047019,52.31958762886598,372200,26.45533141210374,10.72649572649572,67.4087591240876,0.18248175182481002,5.10948905109489,20.82294264339152,18.3,50117,18.1021897810219,95.17045454545456,54.0,410,1,MA
2588,25025090901,25,80.0,7.82560089435438,65.69942513003011,356800,12.611607142857139,45.37350138333845,12.729263618943328,1.06761565836298,25.184779633178213,15.416666666666659,14.1,25662,33.58883109772789,95.66761363636364,54.0,655,1,MA
2589,25025091300,25,76.9,5.11402902557014,56.20328849028401,463400,25.99502487562189,15.24280575539568,67.41405082212258,0.82212257100149,7.399103139013451,19.24939467312348,19.2,41020,23.09417040358744,98.57954545454544,57.99999999999999,460,1,MA
2590,25025091500,25,76.9,14.85325697924123,43.22033898305085,554800,27.33512384362876,6.25892432175154,53.794298921417564,0.0,12.90446841294299,23.2902033271719,18.0,53651,27.61941448382126,93.89204545454544,43.0,655,1,MA
2591,25025091600,25,73.8,8.33790455293472,49.88669472321139,368800,18.3754333828628,8.25614176399516,37.71447070249271,0.0,18.51731952088054,21.82296231375986,16.8,47317,16.70443509226286,92.4715909090909,39.0,425,1,MA
2592,25025091700,25,77.2,12.662337662337661,44.12128712871287,449200,30.25616239729338,8.11627029067572,66.57483930211203,0.33670033670033,4.10162228344046,20.7,18.6,49800,18.08999081726354,99.5028409090909,60.0,584,1,MA
2593,25025091800,25,75.6,12.44044467972472,52.19335009779268,397800,21.54620311070448,7.06174591909155,66.58284436993573,0.75440067057837,4.58228555462419,18.12297734627831,19.9,33784,23.21877619446772,99.43181818181816,56.00000000000001,630,1,MA
2594,25025091900,25,76.7,14.65990705534431,42.82243816254417,382900,19.15903696168192,6.930415263748591,71.7756183745583,0.0,4.79240282685512,11.00513573000733,17.9,54375,31.470848056537097,94.67329545454544,46.0,620,1,MA
2595,25025092000,25,77.2,11.40433553251649,32.57602862254025,439400,22.82234577707175,7.934805918936299,63.23792486583184,0.55456171735241,7.76386404293381,16.81664791901012,16.7,57214,21.0912343470483,93.39488636363636,46.0,794,1,MA
2596,25025092101,25,80.1,3.8918666977394505,37.18446601941748,517600,24.75622968580715,9.72990562967783,21.32222373992623,0.3278240677503,27.619177707963388,25.42927228127555,14.4,56149,10.39475481491599,95.95170454545456,45.0,1054,1,MA
2597,25025092300,25,81.6,7.47562296858071,35.1493848857645,422900,19.47809878844361,5.9855127716355305,79.14609352309033,0.60993319779262,4.15335463258785,11.66509877704609,15.6,55469,28.056927098460637,94.2471590909091,45.0,464,1,MA
2598,25025100100,25,83.8,7.900399631109741,56.50057273768614,319100,18.90666030078777,6.342575009494871,78.89633537715672,0.29944388991872,2.13888492799087,11.89287335451656,18.1,28659,25.324397547411948,92.4715909090909,47.0,1020,1,MA
2599,25025100200,25,74.8,12.55131964809384,49.2001207364926,357300,20.92092092092092,8.09061488673139,83.53365384615384,0.0,1.8329326923076898,2.64270613107822,16.6,53269,16.25600961538461,96.80397727272728,50.0,469,1,MA
2600,25025100300,25,79.9,7.3394495412844,39.37514357914082,421000,18.16553206735937,7.6065198741778595,83.340919435594,0.0,3.0268548020027297,6.19012527634487,14.8,51645,8.01092398725534,97.79829545454544,46.0,580,1,MA
2601,25025100500,25,80.3,10.663983903420519,35.31419705197828,388300,18.98372195336559,11.64111300397501,57.707987316925866,0.0,16.78997433187377,19.43815133665609,14.2,59913,17.650611505360107,94.53125,49.0,1049,1,MA
2602,25025101001,25,78.2,7.9090909090909,37.342304457527334,402900,13.220720720720719,6.27049180327868,88.87595610242766,0.0,1.7958097771865598,18.32167832167832,14.1,64185,14.283338875956101,92.4715909090909,41.0,890,1,MA
2603,25025101002,25,76.5,12.40076649329318,38.47915712322492,344200,16.033280863503478,9.02905479955866,83.93875712999099,0.0,3.93275292704893,11.6231647634584,14.9,49947,13.61453017111978,91.76136363636364,46.0,1040,1,MA
2604,25025101101,25,82.0,16.70951156812339,39.94988864142539,412600,15.94142259414226,11.45762711864406,88.2238307349666,0.0,1.0579064587973201,6.22775800711743,14.4,50625,14.810690423162582,96.09375,47.0,515,1,MA
2605,25025101102,25,77.4,10.20833333333333,40.75973409306743,436100,19.79695431472081,8.92030848329048,87.35042735042735,0.0,1.7853751187084501,16.43420254699818,15.9,46080,15.57454890788224,98.50852272727272,46.0,750,1,MA
2606,25025110401,25,83.4,9.11259541984732,36.590491200420274,420700,11.04089219330855,4.41609421000981,36.354084581034925,0.8668242710795899,35.32965589703178,16.83098591549295,12.8,64494,33.123194116101914,93.82102272727272,38.0,539,1,MA
